author,files[0].fileId,files[0].fileName,files[0].url,files[0].type,caption,mode
6927e34b55c61eb81037f590,693102dbaca20fafb17ecb12,IMG_2217.jpeg,https://ysachocrphmykusczuke.supabase.co/storage/v1/object/public/files/dd270a7d-f4ce-442e-b3b6-7b646b11488e.jpeg,image/jpeg,"Hello everyone , my name is Anh😁",public
6927e06155c61eb81037f50b,693106b1aca20fafb17ecb1f,att.ZTSswPMFHWctrKmY2hbM_vEhlEEmeiD7JGnhX7DY_TA.jpeg,https://ysachocrphmykusczuke.supabase.co/storage/v1/object/public/files/2b0e07e0-15a6-4a15-9270-44e10273bfa7.jpeg,image/jpeg,My birthday !,public
6927e16a55c61eb81037f52e,6931071faca20fafb17ecb21,Numpy-OpenCV-API.docx,https://ysachocrphmykusczuke.supabase.co/storage/v1/object/public/files/db3f370b-10e1-4754-9dad-930216cd100d.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,numpy in opencv 😍,public
6927e1eb55c61eb81037f543,69310874aca20fafb17ecb32,QuaÌn TriÌ£ MaÌ£ng.docx,https://ysachocrphmykusczuke.supabase.co/storage/v1/object/public/files/885fe21b-482c-461a-a021-365cf5090554.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Ôn thi quản trị mạng với mình nhé :> ,public
6927e34b55c61eb81037f590,6931091baca20fafb17ecb34,Chuong09_Proxy.pptx,https://ysachocrphmykusczuke.supabase.co/storage/v1/object/public/files/e5965b15-395d-4c34-8a7d-0e67273e3b99.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,Do you know Proxy ??? ,public
6927e06155c61eb81037f50b,6936741307c4546c660fdbbc,listening1.pdf,https://ysachocrphmykusczuke.supabase.co/storage/v1/object/public/files/0943022a-f8f6-411d-bd16-d2ea257fab1c.pdf,application/pdf,new document !!!,public
